# Rime user dictionary
#@/db_name	extended
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	389086
#@/user_id	mac
a 	啊	c=2090 d=6.0343 t=389086
he 	核	c=9 d=6.35616e-52 t=389086
he 	盒	c=3 d=8.1759e-14 t=389086
he 	鹤	c=1 d=0 t=389086
he bing 	合并	c=14 d=1.07047e-07 t=389086
he cha 	喝茶	c=1 d=4.5749e-95 t=389086
he cheng 	合成	c=1 d=1.11336e-28 t=389086
he dao 	河道	c=1 d=2.55903e-25 t=389086
he dui 	核对	c=1 d=0 t=389086
he duo 	喝多	c=1 d=8.54392e-267 t=389086
he fa 	合法	c=3 d=0 t=389086
he fei 	合肥	c=1 d=7.24551e-122 t=389086
he gang gang 	和刚刚	c=1 d=0 t=389086
he gui 	合规	c=5 d=2.09944e-49 t=389086
he he 	喝喝	c=1 d=8.23289e-125 t=389086
he jiu 	喝酒	c=2 d=3.08842e-90 t=389086
he kuang 	何况	c=2 d=8.33229e-31 t=389086
he li 	合理	c=11 d=1.88375e-09 t=389086
he li 	河里	c=2 d=5.27744e-51 t=389086
he ni 	和你	c=10 d=0.744532 t=389086
he ni na 	和你那	c=1 d=2.1488e-234 t=389086
he ni shi 	和你是	c=1 d=0 t=389086
he ni zhe ge 	和你这个	c=1 d=1.32027e-239 t=389086
he ren 	何人	c=1 d=2.60914e-106 t=389086
he ren 	和人	c=1 d=3.89901e-126 t=389086
he ru 	合入	c=2 d=2.24991e-128 t=389086
he shang 	和尚	c=1 d=0.307279 t=389086
he shang mian 	和上面	c=1 d=0 t=389086
he shi 	合适	c=5 d=6.79944e-51 t=389086
he shui 	喝水	c=5 d=1.52941e-263 t=389086
he suan 	核酸	c=2 d=1.19377e-113 t=389086
he ta 	和他	c=1 d=0 t=389086
he ta men 	和他们	c=1 d=9.82753e-296 t=389086
he tong 	合同	c=10 d=2.51006e-33 t=389086
he wo 	和我	c=7 d=6.62458e-68 t=389086
he wo de 	和我的	c=1 d=8.65619e-156 t=389086
he wo men 	和我们	c=2 d=5.80121e-116 t=389086
he wo shuo 	和我说	c=1 d=0 t=389086
he wu 	何物	c=1 d=0 t=389086
he xin 	核心	c=16 d=6.02466e-10 t=389086
he xin ke ji 	核心科技	c=1 d=5.4129e-162 t=389086
he yi qian 	和以前	c=1 d=6.06305e-26 t=389086
he yue 	合约	c=3 d=1.86082e-77 t=389086
he zai 	何在	c=1 d=1.51881e-05 t=389086
he zhe ci 	和这次	c=1 d=1.7801e-49 t=389086
he zhe ge 	和这个	c=4 d=6.54931e-110 t=389086
he zhi qian 	和之前	c=1 d=1.89495e-108 t=389086
he zi 	盒子	c=1 d=1.33436e-305 t=389086
he zu 	合租	c=6 d=3.62694e-93 t=389086
he zuo 	合作	c=1 d=1.41584e-32 t=389086
hei 	黑	c=85 d=0.683861 t=389086
hei an 	黑暗	c=1 d=2.41518e-109 t=389086
hei ban 	黑板	c=1 d=5.08365e-159 t=389086
hei chan 	黑产	c=3 d=4.54496e-106 t=389086
hei ke 	黑客	c=9 d=4.25894e-106 t=389086
hei kuo 	黑阔	c=2 d=3.23133e-34 t=389086
hei ming dan 	黑名单	c=3 d=5.03205e-186 t=389086
hei pi 	黑皮	c=1 d=5.95683e-259 t=389086
hei ping 	黑屏	c=1 d=0 t=389086
hei ren 	黑人	c=1 d=2.00004e-96 t=389086
hei se 	黑色	c=7 d=0.00282287 t=389086
hei ye 	黑夜	c=1 d=4.49151e-202 t=389086
hei zi 	黑子	c=1 d=6.66912e-88 t=389086
hen 	很	c=6 d=1.9575e-50 t=389086
hen 	恨	c=3 d=9.73991e-132 t=389086
hen 	狠	c=6 d=1.03215e-225 t=389086
hen 	痕	c=1 d=1.97604e-101 t=389086
hen cha 	很差	c=2 d=0 t=389086
hen chang 	很长	c=8 d=1.02142e-190 t=389086
hen chou 	很丑	c=3 d=1.11667e-151 t=389086
hen da 	很大	c=14 d=3.0585e-05 t=389086
hen dan teng 	很淡疼	c=2 d=2.17253e-128 t=389086
hen di 	很低	c=9 d=9.00697e-94 t=389086
hen duan 	很短	c=2 d=1.94397e-85 t=389086
hen duo 	很多	c=358 d=0.280452 t=389086
hen duo ci 	很多次	c=5 d=9.97386e-29 t=389086
hen duo de 	很多的	c=1 d=2.8723e-207 t=389086
hen duo ge 	很多个	c=3 d=1.38748e-88 t=389086
hen duo ren 	很多人	c=4 d=2.0602e-268 t=389086
hen duo shi hou 	很多时候	c=1 d=0 t=389086
hen fang bian 	很方便	c=1 d=1.88762e-180 t=389086
hen gao 	很高	c=6 d=3.78092e-29 t=389086
hen guai 	很怪	c=11 d=1.90885e-47 t=389086
hen gui 	很贵	c=1 d=8.83557e-162 t=389086
hen hao 	很好	c=25 d=1.36714e-32 t=389086
hen hao qi 	很好起	c=1 d=0 t=389086
hen hao yong 	很好用	c=26 d=6.25301e-36 t=389086
hen hen 	狠狠	c=11 d=3.17104e-224 t=389086
hen hou 	很厚	c=1 d=0 t=389086
hen huo 	很火	c=1 d=1.30963e-232 t=389086
hen ji 	很急	c=9 d=1.75969e-31 t=389086
hen ji 	痕迹	c=1 d=4.48569e-128 t=389086
hen jian dan 	很简单	c=3 d=8.84459e-174 t=389086
hen jing dian 	很经典	c=1 d=1.96731e-49 t=389086
hen jiu 	很久	c=64 d=1.01057e-06 t=389086
hen jiu le 	很久了	c=1 d=1.68125e-259 t=389086
hen ka 	很卡	c=9 d=3.86165e-101 t=389086
hen kan 	很看	c=1 d=1.60345e-231 t=389086
hen kong bu 	很恐怖	c=1 d=7.55221e-51 t=389086
hen ku 	很酷	c=1 d=0 t=389086
hen kuai 	很快	c=22 d=0.995012 t=389086
hen la ji 	很垃圾	c=1 d=0 t=389086
hen lao 	很老	c=3 d=3.75695e-13 t=389086
hen li pu 	很离谱	c=5 d=4.37359e-95 t=389086
hen man 	很慢	c=4 d=1.33058e-66 t=389086
hen mang 	很忙	c=3 d=1.07354e-217 t=389086
hen ming xian 	很明显	c=10 d=6.54215e-09 t=389086
hen nan 	很难	c=8 d=2.01129e-15 t=389086
hen qiang 	很强	c=10 d=7.23266e-13 t=389086
hen qing 	很轻	c=1 d=1.55694e-32 t=389086
hen rong yi 	很容易	c=2 d=1.83882e-166 t=389086
hen shao 	很少	c=62 d=0.778957 t=389086
hen shao yong 	很少用	c=2 d=1.87884e-184 t=389086
hen shu 	很熟	c=1 d=5.92102e-100 t=389086
hen shu xi 	很熟悉	c=1 d=5.21218e-188 t=389086
hen shuang 	很爽	c=12 d=3.68255e-13 t=389086
hen wan 	很晚	c=2 d=1.8064e-192 t=389086
hen xiang 	很像	c=1 d=1.18887e-241 t=389086
hen xiang 	很想	c=4 d=5.62138e-216 t=389086
hen xiang 	很象	c=1 d=0 t=389086
hen xiang 	很香	c=2 d=0 t=389086
hen xiao 	很小	c=16 d=2.82759e-52 t=389086
hen yan 	很严	c=2 d=6.69935e-53 t=389086
hen yi ban 	很一般	c=1 d=0 t=389086
hen you 	很有	c=3 d=2.82089e-171 t=389086
hen you yong 	很有用	c=1 d=4.33625e-53 t=389086
hen zao 	很早	c=3 d=4.55484e-14 t=389086
hen zheng chang 	很正常	c=6 d=6.4606e-126 t=389086
hen zhong 	很重	c=1 d=1.63054e-46 t=389086
hen zhong yao 	很重要	c=2 d=6.32574e-25 t=389086
heng 	哼	c=1 d=0 t=389086
heng 	横	c=4 d=5.19856e-179 t=389086
heng ci heng ci 	哼此哼次	c=1 d=2.03345e-85 t=389086
heng fu 	横幅	c=2 d=3.96947e-269 t=389086
heng heng 	哼哼	c=2 d=1.62606e-43 t=389086
heng xiang 	横向	c=2 d=0 t=389086
heng zhe 	横着	c=6 d=1.10416e-48 t=389086
hong 	宏	c=17 d=2.54854e-153 t=389086
hong 	红	c=15 d=7.6507e-27 t=389086
hong 	虹	c=0 d=4.59582e-179 t=389086
hong bao 	红包	c=11 d=2.95637e-89 t=389086
hong deng qu 	红灯区	c=1 d=1.81447e-215 t=389086
hong guan 	宏观	c=1 d=2.11077e-171 t=389086
hong guang 	红光	c=1 d=0 t=389086
hong li 	红利	c=2 d=4.94261e-34 t=389086
hong lou meng 	红楼梦	c=1 d=1.4891e-96 t=389086
hong lv 	红绿	c=1 d=4.69181e-39 t=389086
hong lv deng 	红绿灯	c=1 d=7.81862e-194 t=389086
hong mi 	红米	c=10 d=6.37804e-63 t=389086
hong se 	红色	c=7 d=4.55484e-14 t=389086
hong shi 	红石	c=37 d=3.80886e-14 t=389086
hong wen 	红温	c=1 d=5.99014e-207 t=389086
hong yan 	红岩	c=9 d=7.25488e-75 t=389086
hong yan 	红颜	c=1 d=3.83349e-15 t=389086
hong zi 	红字	c=1 d=2.98149e-146 t=389086
hou 	厚	c=3 d=1.8616e-105 t=389086
hou 	后	c=98 d=1.54713e-135 t=389086
hou 	猴	c=1 d=1.40568e-153 t=389086
hou ai 	喉癌	c=1 d=1.87405e-154 t=389086
hou duan 	后端	c=38 d=1.21955e-11 t=389086
hou duan tu 	后端图	c=1 d=0 t=389086
hou fang 	后方	c=1 d=1.95573e-244 t=389086
hou gong 	后宫	c=10 d=0.0649124 t=389086
hou hui 	后悔	c=3 d=3.38574e-230 t=389086
hou ji tian 	后几天	c=1 d=1.55489e-134 t=389086
hou lai 	后来	c=5 d=5.00776e-41 t=389086
hou liang 	后梁	c=1 d=2.12374e-243 t=389086
hou liang zhe 	后两者	c=1 d=1.06191e-89 t=389086
hou lu 	后路	c=2 d=5.29743e-173 t=389086
hou men 	后门	c=2 d=3.41163e-202 t=389086
hou mian 	后面	c=380 d=0.823499 t=389086
hou qi 	后期	c=1 d=4.42421e-289 t=389086
hou tai 	后台	c=718 d=4.20665 t=389086
hou tai fa 	后台法	c=1 d=8.85025e-64 t=389086
hou teng le 	后疼了	c=1 d=0 t=389086
hou tian 	后天	c=8 d=1.54518e-31 t=389086
hou tui 	后腿	c=1 d=4.18202e-215 t=389086
hou tui 	后退	c=1 d=0 t=389086
hou xu 	后续	c=14 d=3.9958e-91 t=389086
hou xuan 	候选	c=11 d=1.67515 t=389086
hou yi 	后羿	c=1 d=9.10118e-40 t=389086
hou zhe 	后者	c=3 d=8.38546e-47 t=389086
hou zhui 	后缀	c=26 d=1.94178e-13 t=389086
hou zi 	猴子	c=2 d=1.05264e-74 t=389086
hou zui 	后最	c=1 d=0 t=389086
hu 	乎	c=0 d=0 t=389086
hu 	互	c=52 d=0.586421 t=389086
hu 	呼	c=4 d=8.86834e-88 t=389086
hu 	壶	c=1 d=1.48952e-305 t=389086
hu 	户	c=7 d=0.00290998 t=389086
hu 	护	c=2 d=1.10889e-201 t=389086
hu 	湖	c=1 d=4.20513e-221 t=389086
hu 	糊	c=12 d=3.15952e-122 t=389086
hu 	胡	c=7 d=1.04421e-117 t=389086
hu bang hu zhu 	互帮互助	c=1 d=1.06815e-99 t=389086
hu bei 	湖北	c=1 d=1.72703e-134 t=389086
hu bo 	互博	c=1 d=1.62006e-264 t=389086
hu chi 	互斥	c=7 d=9.75484e-150 t=389086
hu de yi leng yi leng 	乎的一愣一愣	c=1 d=0 t=389086
hu dong 	互动	c=3 d=0 t=389086
hu kou 	户口	c=2 d=1.62507e-124 t=389086
hu lian wang 	互联网	c=28 d=4.67811e-34 t=389086
hu lu 	葫芦	c=0 d=0 t=389086
hu lu wa 	葫芦娃	c=1 d=0 t=389086
hu lue 	忽略	c=52 d=0.458406 t=389086
hu nan 	湖南	c=1 d=2.63252e-299 t=389086
hu ran 	忽然	c=1 d=3.34044e-248 t=389086
hu shi 	护士	c=2 d=5.98664e-112 t=389086
hu tong 	互通	c=5 d=0.00392653 t=389086
hu tu 	糊涂	c=1 d=2.75809e-259 t=389086
hu wai 	户外	c=1 d=1.05785e-279 t=389086
hu xu 	胡须	c=0 d=0 t=389086
hu xu guan 	胡须关	c=1 d=0 t=389086
hu yan 	胡艳	c=1 d=2.35492e-194 t=389086
hu zhu 	互助	c=1 d=1.06282e-100 t=389086
hua 	化	c=32 d=1.25356e-41 t=389086
hua 	华	c=3 d=6.68568e-29 t=389086
hua 	画	c=238 d=4.86298 t=389086
hua 	花	c=40 d=9.87998e-06 t=389086
hua 	话	c=903 d=1.43469 t=389086
hua ban 	滑板	c=1 d=0 t=389086
hua bei 	花呗	c=3 d=1.75145e-64 t=389086
hua bo 	划拨	c=1 d=0 t=389086
hua ding 	划定	c=1 d=0 t=389086
hua dong 	滑动	c=2 d=8.43905e-210 t=389086
hua fei 	话费	c=1 d=2.01364e-205 t=389086
hua fen 	划分	c=4 d=1.14767e-179 t=389086
hua feng 	画风	c=2 d=1.04203e-178 t=389086
hua hua 	画画	c=1 d=0 t=389086
hua li 	话李	c=1 d=1.77182e-53 t=389086
hua li hu shao 	花里胡哨	c=2 d=6.56132e-14 t=389086
hua qian 	花钱	c=9 d=3.37076e-31 t=389086
hua qiang 	华强	c=1 d=1.02097e-97 t=389086
hua shao 	花哨	c=1 d=0 t=389086
hua shuo 	话说	c=159 d=0.131659 t=389086
hua suan 	划算	c=2 d=1.33085e-40 t=389086
hua tai 	华泰	c=1 d=1.8258e-200 t=389086
hua teng 	花藤	c=1 d=3.93421e-261 t=389086
hua ti 	话题	c=5 d=4.36522e-89 t=389086
hua tu 	画图	c=3 d=3.4559e-236 t=389086
hua wei 	华为	c=407 d=1.00553e-06 t=389086
hua xian 	划线	c=1 d=3.45965e-190 t=389086
hua xiang 	画像	c=46 d=2.00726e-65 t=389086
hua yu 	花语	c=1 d=6.7259e-217 t=389086
hua yuan 	花园	c=1 d=8.75183e-197 t=389086
hua zhi 	画质	c=2 d=2.59011e-20 t=389086
hua zhong 	华中	c=1 d=2.36205e-112 t=389086
hua zhuang 	化妆	c=1 d=0 t=389086
huai 	坏	c=7 d=3.22848e-53 t=389086
huai hua 	坏话	c=1 d=2.57029e-106 t=389086
huai yi 	怀疑	c=8 d=3.35281e-27 t=389086
huai yun 	怀孕	c=1 d=7.35775e-97 t=389086
huan 	换	c=431 d=0.9958 t=389086
huan 	环	c=25 d=9.53661e-31 t=389086
huan 	还	c=32 d=9.83039e-35 t=389086
huan bi 	环比	c=17 d=0.000156102 t=389086
huan cheng 	换成	c=51 d=2.1287e-06 t=389086
huan chong 	缓冲	c=1 d=1.7089e-10 t=389086
huan chong qu 	缓冲区	c=1 d=0 t=389086
huan cun 	缓存	c=128 d=2.04593e-10 t=389086
huan cun li 	缓存里	c=1 d=6.73692e-295 t=389086
huan dao 	换到	c=1 d=0 t=389086
huan diao 	换掉	c=1 d=3.33104e-303 t=389086
huan ge 	换个	c=26 d=8.6068e-30 t=389086
huan gong zuo 	换工作	c=1 d=8.49841e-263 t=389086
huan guo 	换过	c=4 d=1.89856e-101 t=389086
huan hang 	换行	c=38 d=1.72162e-09 t=389086
huan hao 	换号	c=1 d=3.67406e-74 t=389086
huan huan 	换换	c=1 d=4.78128e-261 t=389086
huan hui 	换回	c=5 d=1.66784e-18 t=389086
huan huo 	换货	c=3 d=5.82135e-18 t=389086
huan jie 	环节	c=1 d=1.01567e-124 t=389086
huan jing 	环境	c=1134 d=4.46573 t=389086
huan ju hua 	换句话	c=2 d=1.35234e-51 t=389086
huan le 	欢乐	c=3 d=1.83094e-49 t=389086
huan lu 	环路	c=1 d=2.48062e-100 t=389086
huan qian 	换钱	c=1 d=8.5071e-275 t=389086
huan shi 	幻视	c=1 d=4.00592e-297 t=389086
huan wei 	换位	c=1 d=0 t=389086
huan xiang 	幻想	c=4 d=1.84599 t=389086
huan yi 	换衣	c=1 d=0 t=389086
huan yi ge 	换一个	c=3 d=1.25021e-274 t=389086
huan yi xia 	换一下	c=5 d=9.54635e-43 t=389086
huan ying 	欢迎	c=6 d=3.8222e-186 t=389086
huan zhuang 	换装	c=1 d=2.51562e-59 t=389086
huang 	慌	c=3 d=5.14086e-173 t=389086
huang 	皇	c=5 d=4.17359e-15 t=389086
huang 	荒	c=1 d=1.19678e-172 t=389086
huang 	黄	c=12 d=4.58874e-13 t=389086
huang chao 	黄巢	c=1 d=5.1596e-157 t=389086
huang di 	皇帝	c=25 d=0.00733572 t=389086
huang di 	荒地	c=0 d=4.1242e-23 t=389086
huang guan 	皇冠	c=1 d=7.2843e-126 t=389086
huang hua 	黄花	c=1 d=1.41026e-15 t=389086
huang huang 	黄黄	c=1 d=3.34282e-227 t=389086
huang jin 	黄金	c=22 d=1.1445e-29 t=389086
huang niu 	黄牛	c=1 d=1.53175e-281 t=389086
huang pian 	黄片	c=1 d=3.59032e-185 t=389086
huang se 	黄色	c=2 d=4.52937e-95 t=389086
huang sha 	慌啥	c=1 d=3.25683e-97 t=389086
huang ye 	荒野	c=4 d=5.34334e-10 t=389086
huang you 	黄油	c=3 d=3.42534e-161 t=389086
hui 	会	c=1073 d=2.75513 t=389086
hui 	回	c=84 d=2.70611e-06 t=389086
hui 	灰	c=186 d=1.04666 t=389086
hui ba 	会把	c=1 d=6.71168e-104 t=389086
hui bao 	回报	c=11 d=3.72856e-12 t=389086
hui bao 	汇报	c=4 d=3.76603e-12 t=389086
hui bei 	会被	c=10 d=0.194952 t=389086
hui bi 	回避	c=1 d=0 t=389086
hui bian 	会变	c=6 d=6.3471e-94 t=389086
hui bian 	汇编	c=9 d=5.77343e-09 t=389086
hui bu hui 	会不会	c=42 d=0.0536647 t=389086
hui bu qu 	回不去	c=1 d=2.57645e-281 t=389086
hui chan 	灰产	c=2 d=8.80461e-62 t=389086
hui chang 	会场	c=1 d=4.55599e-252 t=389086
hui che 	回车	c=1 d=1.6294e-214 t=389086
hui chong tu 	会冲突	c=1 d=4.63806e-168 t=389086
hui da 	回答	c=6 d=2.16119e-184 t=389086
hui dao 	回到	c=3 d=3.51994e-158 t=389086
hui diao 	回调	c=72 d=0.0025415 t=389086
hui du 	灰度	c=88 d=0.543514 t=389086
hui fa 	会发	c=2 d=2.66709e-270 t=389086
hui fu 	回复	c=4 d=3.16155e-130 t=389086
hui fu 	恢复	c=151 d=0.367879 t=389086
hui gei 	会给	c=2 d=0 t=389086
hui gei 	回给	c=1 d=1.50345e-150 t=389086
hui gong si 	回公司	c=1 d=1.46969e-265 t=389086
hui gu 	回顾	c=1 d=0 t=389086
hui gui 	回归	c=38 d=4.30884e-25 t=389086
hui gun 	回滚	c=27 d=0.122456 t=389086
hui guo 	回国	c=1 d=4.21871e-112 t=389086
hui he 	回合	c=2 d=1.43036e-05 t=389086
hui hua 	会话	c=31 d=8.47866e-30 t=389086
hui jia 	回家	c=40 d=0.353455 t=389086
hui lai 	回来	c=91 d=0.917439 t=389086
hui lao jia 	回老家	c=1 d=1.98385e-118 t=389086
hui liu 	回流	c=1 d=0 t=389086
hui lv 	汇率	c=1 d=2.28088e-83 t=389086
hui qi 	晦气	c=1 d=1.0861e-148 t=389086
hui qu 	会去	c=1 d=0 t=389086
hui qu 	回去	c=38 d=0.0992555 t=389086
hui se 	灰色	c=2 d=0.000614317 t=389086
hui se er 	灰色二	c=1 d=2.3505e-25 t=389086
hui shi 	回事	c=71 d=0.105928 t=389086
hui shi bai 	会失败	c=2 d=3.26808e-129 t=389086
hui shou 	回收	c=12 d=2.25464e-11 t=389086
hui su 	回溯	c=1 d=7.94277e-291 t=389086
hui tai 	会太	c=2 d=9.09314e-59 t=389086
hui tou 	回头	c=1 d=2.55244e-171 t=389086
hui tui 	回退	c=1 d=0 t=389086
hui wan 	会玩	c=1 d=5.65219e-24 t=389086
hui wo 	回我	c=5 d=3.31324e-05 t=389086
hui xue xiao 	回学校	c=1 d=7.25021e-159 t=389086
hui yi 	会议	c=6 d=2.80345e-10 t=389086
hui yi 	回忆	c=2 d=9.00975e-127 t=389086
hui yong 	会用	c=3 d=5.84584e-273 t=389086
hui you 	会有	c=20 d=0.0129715 t=389086
hui yuan 	会员	c=19 d=2.76115e-37 t=389086
hui za yang 	会咋样	c=1 d=2.2605e-95 t=389086
hui zhi 	回执	c=382 d=8.25667e-12 t=389086
hui zhou 	惠州	c=2 d=2.41665e-28 t=389086
hui zi dong 	会自动	c=1 d=2.32293e-92 t=389086
hui zong 	汇总	c=10 d=2.81119e-13 t=389086
hun 	婚	c=2 d=5.09198e-237 t=389086
hun 	混	c=25 d=0.423162 t=389086
hun he 	混合	c=1 d=7.12671e-104 t=389086
hun luan 	混乱	c=5 d=1.16524e-05 t=389086
hun qian 	婚前	c=1 d=1.5201e-15 t=389086
hun shen 	浑身	c=2 d=1.31887e-109 t=389086
hun xiao 	混淆	c=14 d=0.00384878 t=389086
hun ye 	混业	c=1 d=1.20713e-185 t=389086
hun yuan 	浑源	c=1 d=2.61252e-180 t=389086
hun zai 	混在	c=1 d=1.0268e-252 t=389086
huo 	或	c=23 d=7.2621e-90 t=389086
huo 	活	c=48 d=1.50058e-10 t=389086
huo 	火	c=9 d=4.70636e-46 t=389086
huo 	祸	c=1 d=7.13504e-294 t=389086
huo bi 	货币	c=6 d=3.57433e-15 t=389086
huo bi ji jin 	货币基金	c=1 d=9.90018e-30 t=389086
huo bu dao 	或不到	c=4 d=1.43392e-93 t=389086
huo che 	火车	c=2 d=0 t=389086
huo che piao 	火车票	c=2 d=3.07855e-23 t=389086
huo che zhan 	火车站	c=1 d=0 t=389086
huo dao 	活到	c=1 d=0 t=389086
huo de 	获得	c=1 d=5.44003e-162 t=389086
huo dong 	活动	c=14 d=0.000352662 t=389086
huo er 	活儿	c=1 d=0 t=389086
huo hu 	火狐	c=1 d=0 t=389086
huo li 	获利	c=1 d=1.24957e-121 t=389086
huo qi lai 	活起来	c=1 d=0 t=389086
huo qiu 	火球	c=1 d=4.94634e-131 t=389086
huo qu 	获取	c=409 d=0.0248475 t=389086
huo xia lai 	活下来	c=1 d=1.61039e-223 t=389086
huo xian 	火线	c=1 d=2.39059e-165 t=389086
huo xu 	或许	c=3 d=3.92259e-285 t=389086
huo ying 	火影	c=3 d=9.19265e-40 t=389086
huo yue 	活跃	c=49 d=0.0042963 t=389086
huo yue du 	或阅读	c=3 d=8.38398e-220 t=389086
huo zai 	活在	c=4 d=9.81105e-100 t=389086
huo ze 	或则	c=1 d=1.06247e-242 t=389086
huo zhe 	或者	c=511 d=0.526494 t=389086
huo zhe 	活着	c=6 d=1.60083e-153 t=389086
ji 	几	c=32 d=7.59806e-34 t=389086
ji 	即	c=104 d=0.219808 t=389086
ji 	及	c=2 d=4.1987e-203 t=389086
ji 	奇	c=1 d=1.45947e-183 t=389086
ji 	寄	c=130 d=0.00142298 t=389086
ji 	急	c=51 d=0.0284388 t=389086
ji 	挤	c=3 d=0.304221 t=389086
ji 	机	c=37 d=0.0225956 t=389086
ji 	籍	c=1 d=1.48033e-291 t=389086
ji 	级	c=153 d=3.29783e-09 t=389086
ji 	记	c=8 d=8.14872e-63 t=389086
ji 	集	c=7 d=6.43249e-16 t=389086
ji 	鸡	c=8 d=6.23369e-29 t=389086
ji ba 	几把	c=7 d=0.00313291 t=389086
ji ba 	吉坝	c=1 d=0.0274607 t=389086
ji bai 	几百	c=5 d=2.61011e-81 t=389086
ji bai 	击败	c=1 d=2.5781e-171 t=389086
ji bai ge 	几百个	c=8 d=5.78941e-159 t=389086
ji bai hang 	几百行	c=1 d=2.20771e-258 t=389086
ji bai kuai 	几百块	c=3 d=4.84953e-75 t=389086
ji bai mi 	几百米	c=1 d=5.01975e-216 t=389086
ji bai wan 	几百万	c=14 d=5.60901e-09 t=389086
ji bai wang 	几百王	c=1 d=2.90028e-174 t=389086
ji bei 	几倍	c=2 d=1.71112e-84 t=389086
ji ben 	基本	c=238 d=0.0115401 t=389086
ji ben mian 	基本面	c=1 d=3.50656e-172 t=389086
ji ben pan 	基本盘	c=1 d=1.55892e-282 t=389086
ji ben shang 	基本上	c=6 d=0.00123091 t=389086
ji bian 	几遍	c=1 d=1.61631e-179 t=389086
ji bie 	级别	c=33 d=0.524663 t=389086
ji bu 	记不	c=1 d=4.55754e-256 t=389086
ji bu zhu 	记不住	c=1 d=1.97324e-290 t=389086
ji ceng 	几层	c=1 d=8.89973e-12 t=389086
ji chang 	机场	c=1 d=1.36067e-270 t=389086
ji cheng 	继承	c=3 d=4.16245e-248 t=389086
ji cheng 	集成	c=35 d=5.59657e-07 t=389086
ji chu 	基础	c=112 d=0.421708 t=389086
ji chu shu 	基础书	c=1 d=0 t=389086
ji ci 	几次	c=67 d=0.00177315 t=389086
ji cun qi 	寄存器	c=11 d=6.2522e-152 t=389086
ji dan 	鸡蛋	c=3 d=2.09046e-28 t=389086
ji de 	记得	c=43 d=1.60659e-19 t=389086
ji dian 	几点	c=50 d=4.31109e-14 t=389086
ji dong 	激动	c=1 d=1.06065e-75 t=389086
ji dong che 	机动车	c=1 d=0 t=389086
ji du 	嫉妒	c=3 d=1.52679e-96 t=389086
ji du 	季度	c=3 d=1.08043e-196 t=389086
ji duan 	极端	c=1 d=0 t=389086
ji e 	饥饿	c=1 d=3.69766e-208 t=389086
ji fen 	几分	c=1 d=1.14186e-90 t=389086
ji fen 	积分	c=6 d=6.3633e-158 t=389086
ji fen zhong 	几分中	c=8 d=1.25318e-08 t=389086
ji ge 	几个	c=297 d=0.0565442 t=389086
ji ge 	记个	c=2 d=3.15722e-222 t=389086
ji ge ren 	几个人	c=1 d=5.28983e-68 t=389086
ji ge yue 	几个月	c=6 d=3.18e-169 t=389086
ji ge zi 	几个字	c=2 d=1.04415e-67 t=389086
ji gei 	寄给	c=0 d=4.94486e-246 t=389086
ji gei ni 	寄给你	c=1 d=4.96964e-245 t=389086
ji gen 	几根	c=1 d=1.02498e-143 t=389086
ji gou 	机构	c=1 d=4.43322e-166 t=389086
ji guan 	籍贯	c=1 d=3.30053e-48 t=389086
ji guang 	极光	c=10 d=5.46392e-254 t=389086
ji hang 	几行	c=3 d=4.5249e-54 t=389086
ji hao 	几号	c=12 d=1.14221e-123 t=389086
ji he 	集合	c=3 d=1.27528e-96 t=389086
ji hu 	几乎	c=2 d=1.49882e-290 t=389086
ji hua 	计划	c=10 d=2.44379e-218 t=389086
ji hui 	机会	c=4 d=1.20588e-26 t=389086
ji huo 	激活	c=2 d=0 t=389086
ji ji 	几级	c=3 d=3.70164e-15 t=389086
ji ji 	急急	c=1 d=0 t=389086
ji ji 	积极	c=2 d=3.89847e-95 t=389086
ji jia 	几家	c=1 d=1.70155e-165 t=389086
ji jian 	基建	c=5 d=1.59245e-62 t=389086
ji jin 	基金	c=5 d=3.59224e-15 t=389086
ji ke 	即可	c=10 d=1.6135e-40 t=389086
ji kuai 	几块	c=1 d=1.21148e-51 t=389086
ji lai 	寄来	c=1 d=1.634e-159 t=389086
ji lei 	积累	c=13 d=4.35613e-114 t=389086
ji li 	集里	c=0 d=3.39123e-15 t=389086
ji li gu lu 	集里咕噜	c=1 d=3.40822e-14 t=389086
ji lie 	激烈	c=1 d=2.88492e-141 t=389086
ji ling 	机灵	c=1 d=0 t=389086
ji lou 	几楼	c=1 d=0.438235 t=389086
ji lu 	纪录	c=1 d=0 t=389086
ji lu 	记录	c=91 d=0.00078095 t=389086
ji lu pian 	纪录片	c=1 d=0 t=389086
ji lun 	几轮	c=3 d=9.24067e-160 t=389086
ji lv 	机率	c=3 d=7.60428e-73 t=389086
ji mei 	集美	c=1 d=0 t=389086
ji mi 	机密	c=1 d=3.22367e-153 t=389086
ji miao 	几秒	c=12 d=8.53305e-17 t=389086
ji miao zhong 	几秒中	c=1 d=0 t=389086
ji mo 	寂寞	c=7 d=1.65818e-126 t=389086
ji nan 	济南	c=1 d=1.28785e-270 t=389086
ji nei 	畿内	c=1 d=2.45178e-227 t=389086
ji neng 	技能	c=3 d=0.491698 t=389086
ji nian 	几年	c=12 d=4.91796e-34 t=389086
ji nian qian 	几年前	c=1 d=2.59886e-89 t=389086
ji qi 	机器	c=73 d=0.00310423 t=389086
ji qi ren 	机器人	c=141 d=0.679738 t=389086
